web-scraper-order,url,name,imgSrc,ratecount,description,pricTag
1619774273-4379,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=18&pricing=all&requirements=off&sort_by=relevance,Shop for Good Donation App,https://cdn.shopify.com/app-store/listing_images/1af062718f8feccab1c7439d06e9e4ec/icon/CPaO5tL0lu8CEAE=.png?height=72&width=72,114,Top Rated Donation & Cause Marketing App,Free to install
1619774304-4610,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=8&pricing=all&requirements=off&sort_by=relevance,eBay,https://cdn.shopify.com/app-store/listing_images/977ce6e8627ee40952b6d6050e40d468/icon/COHlic/0lu8CEAE=.png?height=72&width=72,802,Expand your brand footprint on eBay’s global marketplace,Free to install
1619774230-4048,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=32&pricing=all&requirements=off&sort_by=relevance,Bulk Discounts,https://cdn.shopify.com/app-store/listing_images/d207ae51f5174475169a751cbcdc408b/icon/CKDqq8f0lu8CEAE=.jpg?height=72&quality=90&width=72,227,Create Thousands of Discount Codes,Free to install
1619774239-4106,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=29&pricing=all&requirements=off&sort_by=relevance,Katana ? Manufacturing ERP,https://cdn.shopify.com/app-store/listing_images/8446b0c82f404812c0eb12fdd368afd2/icon/CLGhjrP0lu8CEAE=.png?height=72&width=72,112,Smart and Visual Manufacturing & Inventory Management,14-day free trial
1619774301-4592,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=9&pricing=all&requirements=off&sort_by=relevance,Image Gallery + Video ? EA,https://cdn.shopify.com/app-store/listing_images/80a8f3912d0aa304593b7a28771fe95b/icon/CNndpMi3j/ACEAE=.png?height=72&width=72,380,Image Gallery  + Video Gallery + Photo Lookbook,Free plan available
1619774242-4137,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=28&pricing=all&requirements=off&sort_by=relevance,Boxify,https://cdn.shopify.com/app-store/listing_images/9844e4e8c4e89860b06c7c5264cc4cb0/icon/CJizo8z0lu8CEAE=.png?height=72&width=72,107,Real-time shipping rates done right,15-day free trial
1619774294-4546,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=11&pricing=all&requirements=off&sort_by=relevance,Sticky Cart by Uplinkly,https://cdn.shopify.com/app-store/listing_images/cb15159933fc82663d17c3d5a5e59451/icon/CILY9dj0lu8CEAE=.png?height=72&width=72,204,Boost Sales & Conversions With A Sticky Add To Cart Button,Free plan available
1619774324-4787,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=1&pricing=all&requirements=off&sort_by=relevance,"Automizely Email, Sales Pop Up",https://cdn.shopify.com/app-store/listing_images/b8bc9d365792ea16185361099864182c/icon/CIfh5qDA9+8CEAE=.png?height=72&width=72,1835,"Email Marketing, Newsletter, Email Pop Up, Abandoned Cart",Free
1619774273-4369,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=18&pricing=all&requirements=off&sort_by=relevance,Bulk Discount & Price Editor,https://cdn.shopify.com/app-store/listing_images/2d2674b4f9413da8f6655246c0b509a8/icon/CJye4830lu8CEAE=.jpg?height=72&quality=90&width=72,148,"Product Discount App, Bulk Discount Manager, Special Offers",Free plan available
1619774173-3594,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=51&pricing=all&requirements=off&sort_by=relevance,Smartify Product Labels,https://cdn.shopify.com/app-store/listing_images/13484bd181d58bce4fa70e4baa708e2f/icon/CI6e2970lu8CEAE=.png?height=72&width=72,134,"FREE Discount LABEL, Product STICKER, New BADGE for your Sales",Free plan available
1619774298-4581,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=10&pricing=all&requirements=off&sort_by=relevance,Clever ? Google Ads & Shopping,https://cdn.shopify.com/app-store/listing_images/017dd9eebd6eff18cdd355503fd1eb9d/icon/CNjQ6vf+tu8CEAE=.png?height=72&width=72,1636,Get Google Adwords & Google Shopping Ads to promote your store,Free plan available
1619774276-4414,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=17&pricing=all&requirements=off&sort_by=relevance,Bold Product Options,https://cdn.shopify.com/app-store/listing_images/9a0bf1159f79c6ab0660ec422f350445/icon/CNPJjMf0lu8CEAE=.png?height=72&width=72,2187,Product Options & Customization w/ Conditional Logic & Pricing,14-day free trial
1619774148-3397,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=59&pricing=all&requirements=off&sort_by=relevance,AMP by Ampify Me,https://cdn.shopify.com/app-store/listing_images/7ace791b36a8f50b92e346d3bf549762/icon/CJP0j7z0lu8CEAE=.png?height=72&width=72,408,"AMP - Increase Speed, Improve SEO & Get More Organic Traffic.",Free plan available
1619774309-4676,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=6&pricing=all&requirements=off&sort_by=relevance,Order Printer Pro,https://cdn.shopify.com/app-store/listing_images/07a676cdf2f73a0075dd2921b7429d4c/icon/CJq/n8L0lu8CEAE=.png?height=72&width=72,573,"Order Printer for PDF Invoices, Packing Slips, Returns & more",Free plan available
1619774270-4365,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=19&pricing=all&requirements=off&sort_by=relevance,Reviify ? AliExpress Reviews,https://cdn.shopify.com/app-store/listing_images/3cf132be3b187831914a6f405fdd22ce/icon/CLb+hqf0lu8CEAE=.jpg?height=72&quality=90&width=72,208,"Import AliExpress Reviews, Product Reviews, Photo reviews",Free plan available
1619774312-4687,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=5&pricing=all&requirements=off&sort_by=relevance,Packlink PRO Shipping Platform,https://cdn.shopify.com/app-store/listing_images/7cf54df608e1dc0827be1805011e136a/icon/CKLngKn0lu8CEAE=.png?height=72&width=72,501,Multicarrier Shipping Solutions for eCommerce and Marketplaces,Free to install
1619774209-3875,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=39&pricing=all&requirements=off&sort_by=relevance,Inventory Source,https://cdn.shopify.com/app-store/listing_images/b1bcbfdc97dfc4eaba6f7c6ad094f35b/icon/CNrU88j0lu8CEAE=.png?height=72&width=72,185,Sync Thousands of Dropship Products & Orders Seamlessly,Free plan available
1619774291-4534,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=12&pricing=all&requirements=off&sort_by=relevance,Product Options and Customizer,https://cdn.shopify.com/app-store/listing_images/8e319abfd8696f17d53ffb83c2e9dead/icon/CI/IhL70lu8CEAE=.png?height=72&width=72,769,"Unlimited product variants, up-charging & conditional logic",Free plan available
1619774324-4785,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=1&pricing=all&requirements=off&sort_by=relevance,SEO Suite: Image Optimizer,https://cdn.shopify.com/app-store/listing_images/12c5f7113c40f4e4e5a57cad4ff6464f/icon/CKDSlrP0lu8CEAE=.png?height=72&width=72,981,"FREE FOREVER! SEO Image Optimizer, ALT, Meta Tags, Sitemap",Free
1619774285-4469,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=14&pricing=all&requirements=off&sort_by=relevance,Flair Product Badges & Banners,https://cdn.shopify.com/app-store/listing_images/7c02bf90af71ee2051b7a8f42f5512fc/icon/CPz5pNP0lu8CEAE=.png?height=72&width=72,196,"Product labels, badges, stickers, banners + countdown timers",14-day free trial
1619774291-4517,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=12&pricing=all&requirements=off&sort_by=relevance,Form Builder with File Upload,https://cdn.shopify.com/app-store/listing_images/5f594019010246ebf55d691bd099265f/icon/CO7cw97Vm/ACEAE=.png?height=72&width=72,297,Mailchimp Forms | Stripe | Klaviyo | Google Analytics & more!,Free plan available
1619774144-3383,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=60&pricing=all&requirements=off&sort_by=relevance,Order Deadline ? Delivery Date,https://cdn.shopify.com/app-store/listing_images/5baed3549a7e0f0f10bcc83057fba1e2/icon/CNDovs30lu8CEAE=.png?height=72&width=72,125,"Estimated Delivery, Countdown Timer, Shipping Date Best App",7-day free trial
1619774048-2610,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=92&pricing=all&requirements=off&sort_by=relevance,SEO ? All in One & Auto SEO,https://cdn.shopify.com/app-store/listing_images/d621b2c42df447b6893000325bd5253f/icon/CKyB7NP0lu8CEAE=.jpg?height=72&quality=90&width=72,280,"Find SEO problems, Improve SEO & Sell more. Advanced JSON+LD",7-day free trial
1619774279-4423,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=16&pricing=all&requirements=off&sort_by=relevance,Google Shopping Feed,https://cdn.shopify.com/app-store/listing_images/d6c00c9b1dbc92927cd9f38b9ea9b562/icon/CIGrm8n0lu8CEAE=.png?height=72&width=72,261,Product feed for Google Shopping,14-day free trial
1619774255-4236,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=24&pricing=all&requirements=off&sort_by=relevance,Facebook ads | 6x ROAS & sales,https://cdn.shopify.com/app-store/listing_images/721aa292ef35d837a88200d85d27dbb6/icon/CJKcsrf0lu8CEAE=.png?height=72&width=72,356,Retargeting ads on Facebook & Instagram. Retarget & sell more!,14-day free trial
1619774120-3182,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=68&pricing=all&requirements=off&sort_by=relevance,Tobi ? Abandoned Cart Recovery,https://cdn.shopify.com/app-store/listing_images/54bb080fd33e1c94ebd0794548e730b7/icon/CJO6y7b0lu8CEAE=.png?height=72&width=72,686,Recover Carts! Cart Recovery. SMS Marketing. Text Marketing,Free plan available
1619774318-4744,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=3&pricing=all&requirements=off&sort_by=relevance,AfterShip Order Tracking & SMS,https://cdn.shopify.com/app-store/listing_images/2b1e15082bfdc3b29c516461be6bd261/icon/COH/wc/Xwu8CEAE=.png?height=72&width=72,2374,"Order Lookup Page, Track Order Status, Shipping Notifications.",Free plan available
1619774301-4601,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=9&pricing=all&requirements=off&sort_by=relevance,Booster: Back in Stock Alerts,https://cdn.shopify.com/app-store/listing_images/9dd4e67653cbc04aa3dd885f90be1954/icon/CIGTr6v0lu8CEAE=.png?height=72&width=72,155,Premium Back in Stock Alerts | Inventory Restock Alerts,Free
1619774309-4659,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=6&pricing=all&requirements=off&sort_by=relevance,Page Speed Booster,https://cdn.shopify.com/app-store/listing_images/dda18287429a7899417a8d6fd97cd73d/icon/CJWgla30lu8CEAE=.png?height=72&width=72,132,Boost your page speed and conversion rate in JUST 30 seconds!,Free
1619773881-1252,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=148&pricing=all&requirements=off&sort_by=relevance,OptinMate,https://cdn.shopify.com/app-store/listing_images/38f110083fe030ab49261463d788bc6f/icon/COKpm7L0lu8CEAE=.png?height=72&width=72,209,"Email Collection, Coupons & Social Popups, Bars & Cards",7-day free trial
1619774218-3956,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=36&pricing=all&requirements=off&sort_by=relevance,Recom.ai ? Upsell & Cross?sell,https://cdn.shopify.com/app-store/listing_images/3bd92296c1e748bab5ed3f9ce4da5e86/icon/CK+k/s30lu8CEAE=.png?height=72&width=72,228,Boost sales with upsell & cross-sell recommendations app,7-day free trial
1619774161-3501,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=55&pricing=all&requirements=off&sort_by=relevance,Preorderly ? Pre?order PRO,https://cdn.shopify.com/app-store/listing_images/f8c828a11729e6dbdb2c7a69524e6ae4/icon/CI2+6cP0lu8CEAE=.png?height=72&width=72,114,Pre-orders Made Easy! Manage out of stock & Pre-order products,7-day free trial
1619774221-3983,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=35&pricing=all&requirements=off&sort_by=relevance,Hurrify ? Countdown Timer,https://cdn.shopify.com/app-store/listing_images/0fd4cdd343a88b79577b53482698ee6f/icon/CJbPksn0lu8CEAE=.jpeg?height=72&quality=90&width=72,208,"Powerful, Effective & Instant Sales Booster.",2-day free trial
1619774287-4489,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=13&pricing=all&requirements=off&sort_by=relevance,Personalized Recommendations,https://cdn.shopify.com/app-store/listing_images/0d3f51e5a3309561a145ccd20d258bf8/icon/CPmD5bj0lu8CEAE=.jpg?height=72&quality=90&width=72,347,"Wiser- AI based Upsell, Cross Sell & Product Recommendations",Free plan available
1619774151-3416,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=58&pricing=all&requirements=off&sort_by=relevance,Facebook Chat Box ? Marketing,https://cdn.shopify.com/app-store/listing_images/af9c031fdb1813a12cd313ef0421a3fb/icon/CM3yq7P0lu8CEAE=.jpg?height=72&quality=90&width=72,481,"Live Chat, Free Chat Via Facebook Messenger, Auto Marketing",Free plan available
1619774233-4068,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=31&pricing=all&requirements=off&sort_by=relevance,Quickbooks Sync by Bold,https://cdn.shopify.com/app-store/listing_images/d02fe8863a4b3ad8318f463b1cc9037f/icon/COibrLf0lu8CEAE=.png?height=72&width=72,233,Accurate and EASY way to connect & auto-sync with QUICKBOOKS!,Free plan available
1619774324-4780,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=1&pricing=all&requirements=off&sort_by=relevance,VITALS | 40+ Apps in One,https://cdn.shopify.com/app-store/listing_images/90600ebf22ca801b5fc543ad9b7553f0/icon/CNmdlt70lu8CEAE=.jpg?height=72&quality=90&width=72,2274,"Upsells, Reviews, Bundles, Quantity Breaks, BOGO, Replays ...",30-day free trial
1619774200-3797,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=42&pricing=all&requirements=off&sort_by=relevance,Google Ads & Google Shopping,https://cdn.shopify.com/app-store/listing_images/c28072626b227455bff636cef85b754f/icon/CL25iaf0lu8CEAE=.jpg?height=72&quality=90&width=72,103,"Google Shopping, Google AdWords, Google Remarketing. Best ROI!",From $120/month
1619774279-4422,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=16&pricing=all&requirements=off&sort_by=relevance,Yotpo Loyalty & Rewards,https://cdn.shopify.com/app-store/listing_images/f693caaaf4c437600611eb42fc8da5d3/icon/CPPj8Ijup+8CEAE=.png?height=72&width=72,2183,"Loyalty, Referrals & Rewards by Yotpo (formerly Swell)",Free plan available
1619774276-4398,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=17&pricing=all&requirements=off&sort_by=relevance,Cozy Image Gallery,https://cdn.shopify.com/app-store/listing_images/a4a88e805a0889a0761ee91584aa4b56/icon/CPjwhMj0lu8CEAE=.png?height=72&width=72,297,Photo gallery + Image gallery in Masonry & Grid Layout + More,Free plan available
1619774282-4441,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=15&pricing=all&requirements=off&sort_by=relevance,Tracking for Google Ads,https://cdn.shopify.com/app-store/listing_images/2445590e1563d688025d1e3553b3e9cd/icon/CMCnh8n0lu8CEAE=.png?height=72&width=72,262,Google Ads Conversion Pixel. Conversion Tracking for AdWords,7-day free trial
1619774151-3411,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=58&pricing=all&requirements=off&sort_by=relevance,SEO Image Optimizer & Resizer,https://cdn.shopify.com/app-store/listing_images/56c9641d7bc81b463724372ebbca71bd/icon/CLmTi9/0lu8CEAE=.jpg?height=72&quality=90&width=72,134,SEO Image Optimizer. Image Resizer. Edit Alt Tags,Free plan available
1619774301-4603,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=9&pricing=all&requirements=off&sort_by=relevance,WhatsApp Chat & Abandoned Cart,https://cdn.shopify.com/app-store/listing_images/8fc5f6d4d41f33cfcf0ebc61d01b572a/icon/CN2aot70lu8CEAE=.png?height=72&width=72,121,"Free Chat, Automated & Unlimited Recovery via WhatsApp & SMS.",Free plan available
1619774279-4424,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=16&pricing=all&requirements=off&sort_by=relevance,REVIEWS.io ? Product Reviews,https://cdn.shopify.com/app-store/listing_images/44cb5bd17e364d5ee92d03477c740756/icon/CJGto630lu8CEAE=.png?height=72&width=72,126,Keep Existing Reviews | Free Set-up & Import - Google Licensed,14-day free trial
1619774304-4611,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=8&pricing=all&requirements=off&sort_by=relevance,Frequently Bought Together PRO,https://cdn.shopify.com/app-store/listing_images/ba8afb32dceec42ca1e758863b42a0b3/icon/CM6Egc30lu8CEAE=.png?height=72&width=72,142,Amazon Style Related Products. Increase sales,Free
1619774285-4475,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=14&pricing=all&requirements=off&sort_by=relevance,Digital Downloads,https://cdn.shopify.com/app-store/listing_images/602903db3dc6fd0052d12585748da098/icon/CMqVrcf0lu8CEAE=.png?height=72&width=72,282,Sell digital products in your store,Free
1619774301-4606,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=9&pricing=all&requirements=off&sort_by=relevance,QuickBooks or Xero Sync,https://cdn.shopify.com/app-store/listing_images/6572a569975f89dd622407fff4b64aba/icon/CL2f4N/0lu8CEAE=.jpg?height=72&quality=90&width=72,105,"Sync Orders, Fees & Payouts. Trusted by 1000s. Xero Staff Pick",30-day free trial
1619774312-4701,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=5&pricing=all&requirements=off&sort_by=relevance,WhatsApp Chat + Abandoned Cart,https://cdn.shopify.com/app-store/listing_images/9f753b7cdac01ee81beaeb9b1e52bf09/icon/CJiKqd/0lu8CEAE=.png?height=72&width=72,755,AUTOMATED Cart Recovery + 100% FREE WhatsApp Chat & Share,Free plan available
1619774301-4602,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=9&pricing=all&requirements=off&sort_by=relevance,Rewind Backups,https://cdn.shopify.com/app-store/listing_images/086d06dfb64dfbb25160699059a3a65b/icon/CMXDu6z0lu8CEAE=.png?height=72&width=72,807,"Automatic Store Backups. Easily Undo, Recover, and Restore.",7-day free trial
1619774129-3264,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=65&pricing=all&requirements=off&sort_by=relevance,Customer.guru Net Promoter NPS,https://cdn.shopify.com/app-store/listing_images/3f6f138e0a397c3ef5db9faa16572ba7/icon/CMqWhLj0lu8CEAE=.png?height=72&width=72,192,"Survey Net Promoter Score, get testimonials & product reviews",Free plan available
1619774282-4451,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=15&pricing=all&requirements=off&sort_by=relevance,CustomCat ? Print?On?Demand,https://cdn.shopify.com/app-store/listing_images/ac9e03aff7c30ecb80b02c070c02735e/icon/CLivltj0lu8CEAE=.png?height=72&width=72,496,"Enjoy 350+ Products, Fast Fulfillment & Industry Best Prices.",Free plan available
1619773972-1984,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=118&pricing=all&requirements=off&sort_by=relevance,Smart Email Marketing,https://cdn.shopify.com/app-store/listing_images/4eb6fb275512fe5e75d7e69229cd1ba2/icon/CMWt2MP0lu8CEAE=.jpg?height=72&quality=90&width=72,173,"60% the cost of Klaviyo, but smarter. Mailchimp replacement.",Free plan available
1619774154-3454,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=57&pricing=all&requirements=off&sort_by=relevance,"Loyalty, Rewards & Referrals",https://cdn.shopify.com/app-store/listing_images/c600b8f4ff4af75fc6b1b60c0080b336/icon/CMXkhL30lu8CEAE=.png?height=72&width=72,722,"Reward customers, build loyalty and grow referral sales.",Free plan available
1619774249-4194,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=26&pricing=all&requirements=off&sort_by=relevance,Conjured Referrals,https://cdn.shopify.com/app-store/listing_images/2614595da6ad07d5259c91236f6d2570/icon/CMz9l7L0lu8CEAE=.png?height=72&width=72,159,"Boost sales with a beautiful, customizable referral program",14-day free trial
1619774298-4570,https://apps.shopify.com/browse/all?app_integration_pos=off&app_integration_shopify_checkout=off&page=10&pricing=all&requirements=off&sort_by=relevance,QuickBooks Online Sync,https://cdn.shopify.com/app-store/listing_images/f10497a13c8411312b2de2736fb1e5a9/icon/CO7mkbX0lu8CEAE=.png?height=72&width=72,554,"Sync ecommerce data with Quickbooks Online, Pro & Premier",15-day free trial
